"id","updateAt","createAt","size","category","price","images","carbs","kitchen","isFeature","cuisine","protein","fat","ingredients","type","calories","isArchieve","name","description"
"aP1jUuh5g0dbUUxf6zqD","{""seconds"":1728807672,""nanoseconds"":471000000}","{""seconds"":1728746011,""nanoseconds"":147000000}","Vừa","Nước ép",15,"[{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807668263-Remove-bg.ai_1728807506406.png?alt=media&token=8395ac6f-8ca5-4594-81d2-d88218d5be26""}]",20,"veg",false,"east vietnam",5,1,"[""táo tươi"",""gừng tươi"",""nước lọc""]","Dinner",100,false,"Nước ép táo và gừng","Nước ép táo tươi mát, kết hợp với gừng tạo hương vị cay nhẹ."
"bPk3jmc9N7qoarAJxkXN","{""seconds"":1728807713,""nanoseconds"":165000000}","{""seconds"":1728746133,""nanoseconds"":960000000}","Vừa","Món chính",15,"[{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807709887-Remove-bg.ai_1728807525751.png?alt=media&token=6f0f9d97-82b1-4327-98b5-0ffed7f214c0""}]",20,"veg",false,"north vietnam",4,1,"[""cà tím"",""sốt miso"",""dầu mè"",""mè rang"",""hành lá""]","Breakfast",180,false," Cà tím nướng sốt miso","Cà tím nướng mềm, kết hợp với sốt miso đậm đà và hành lá thơm ngon."
"bRqo9ZR3PNqV4abqwAy1","{""seconds"":1732511936,""nanoseconds"":681000000}","{""seconds"":1732511936,""nanoseconds"":681000000}","Ly","Nước uống",4,"[""url_to_image17""]",15,"Thực dưỡng",false,"Chay",3,6,"[""Hạt điều"",""Nước"",""Đường""]",,120,false,"Sữa hạt điều","Sữa hạt điều tự nhiên, bổ dưỡng."
"bmdLsNM8U4oXbn23k7Pw","{""seconds"":1728807915,""nanoseconds"":156000000}","{""seconds"":1728745724,""nanoseconds"":772000000}","Vừa","Món ăn chay",15,"[{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807909878-Remove-bg.ai_1728807812287.png?alt=media&token=14bb3230-4ae2-456f-b351-970e1fe3dce5""}]",20,"veg",false,"east vietnam",5,"2","[""Tempeh"",""nước tương, dầu mè, gừng tươi, mè rang""]","Lunch",200,false,"Tempeh nướng xốt tamari","Tempeh lên men giàu protein, được nướng giòn với xốt tamari đậm đà."
"hIUV9RhPe9Hxwz6E0m88","{""seconds"":1732511937,""nanoseconds"":40000000}","{""seconds"":1732511937,""nanoseconds"":40000000}","Phần","Món chính",8.5,"[""url_to_image18""]",30,"Thực dưỡng",true,"Chay",6,10,"[""Bánh tráng"",""Rau củ"",""Nước chấm""]","Dinner",250,false,"Chả giò chay","Chả giò chay giòn rụm, thơm ngon."
"iDMbzkoZXV4red12DPdV","{""seconds"":1732511934,""nanoseconds"":173000000}","{""seconds"":1732511934,""nanoseconds"":173000000}","Miếng","Bánh",5.5,"[""url_to_image10""]",40,"Thực dưỡng",false,"Chay",4,2,"[""Ngô"",""Bột gạo"",""Nước""]","Dinner",200,false,"Bánh ngô hấp","Bánh ngô hấp mềm mịn, thơm ngon."
"irNaNhE1XIbdW8E1LgQq","{""seconds"":1728807931,""nanoseconds"":79000000}","{""seconds"":1728746189,""nanoseconds"":534000000}","Vừa","Soup",15,"[{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807929070-Remove-bg.ai_1728807787389.png?alt=media&token=fe2c82f2-43ea-4ea4-a0f6-5b268b0c693b""}]","20","veg",false,"north vietnam","5","2","[""bí đỏ"",""đậu đỏ"",""hành tây"",""tỏi"",""dầu oliu"",""muối biển""]","Dinner",230,false,"Súp bí đỏ và đậu đỏ","Súp bí đỏ mịn màng, kết hợp với đậu đỏ giàu protein, thơm ngon và bổ dưỡng."
"nXMeNtmRPM30VcJF1ibh","{""seconds"":1728807954,""nanoseconds"":296000000}","{""seconds"":1728744823,""nanoseconds"":34000000}","Vừa","Món ăn chay",12,"[{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807950068-Remove-bg.ai_1728807545197.png?alt=media&token=50f0bf4c-3252-425d-a06e-98c320dc61cb""},{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807950068-Remove-bg.ai_1728807754812.png?alt=media&token=d57399eb-bc79-4004-90f9-015a19247112""}]",10,"veg",false,"east vietnam","5","1","[""Gạo lứt"",""bông cải xanh"",""cá bó xôi"",""muối biển""]","Breakfast",350,false,"Cơm gạo lứt và rau củ hấp","Gạo lứt giàu chất xơ kết hợp với các loại rau củ hấp giàu vitamin và khoáng chất."
"ng4yzCcb0BrbV6GNldoF","{""seconds"":1732511935,""nanoseconds"":994000000}","{""seconds"":1732511935,""nanoseconds"":994000000}","Ly","Nước uống",3.5,"[""url_to_image15""]",15,"Thực dưỡng",false,"Chay",1,0,"[""Nước dừa""]",,60,false,"Nước dừa tươi","Nước dừa tươi mát lạnh."
"u5IXh1RnWUZHbrj66S3y","{""seconds"":1732511932,""nanoseconds"":911000000}","{""seconds"":1732511932,""nanoseconds"":911000000}","Ly","Nước uống",4.5,"[""url_to_image7""]",25,"Thực dưỡng",true,"Chay",2,0,"[""Cải xoăn"",""Táo"",""Chanh""]",,100,false,"Nước ép xanh","Nước ép từ rau xanh và trái cây."
"vr47VEUup4J1DKd6kgt1","{""seconds"":1728807968,""nanoseconds"":792000000}","{""seconds"":1728745945,""nanoseconds"":736000000}","Vừa","Món tráng miệng",15,"[{""url"":""https://firebasestorage.googleapis.com/v0/b/multi-food-store.appspot.com/o/Images%2FProducts%2F1728807966657-Remove-bg.ai_1728807767840.png?alt=media&token=84f504ce-4069-4ba6-8738-b2b510419356""}]","20","veg",false,"east vietnam",5,"1","[""Bột gạo"",""đậu đỏ""]","Lunch",220,false,"Bánh mochi gạo lứt nhân đậu đỏ","Bánh mochi mềm dẻo từ gạo lứt và đậu đỏ ngọt dịu."
